recording,arm,seed,learning_rate,horizon,status,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_41M.mat,local_affine,8103,0.003,64,PASS,,,0.5617076894193882,2665.475183525028,8448,16.744035236298995,22,8.479597574072136,4.119543114449769,12.433036491371297,26.368147203312642,18.787765794834154,19.760120409138164
recording_2021_12_15_22H_41M.mat,local_affine,8103,0.003,128,PASS,,,0.5881719352331689,5845.107424289651,16896,17.500631455600285,22,10.473018547300066,4.384523555943274,13.305581473237833,24.800459293094185,18.789513960843717,23.73978368455853
recording_2021_12_15_22H_41M.mat,temporal_affine,8101,0.003,64,PASS,,,0.5686175978429276,2731.4578163276356,8448,16.017723579873127,22,6.39387205891442,5.073321139303343,12.6270641160296,24.086172276051258,20.506578694171882,17.682715061801627
recording_2021_12_15_22H_41M.mat,temporal_affine,8101,0.003,128,PASS,,,0.6173645265171068,6439.723844534179,16896,17.431081931160854,22,11.759170403922571,5.394217818616607,13.25221753216726,23.669341516397623,20.82373365111182,22.049787952941703
recording_2021_12_15_22H_41M.mat,temporal_affine,8102,0.003,64,PASS,,,0.5580750088726856,2631.1103007826396,8448,16.961689625802872,22,7.021788952045418,4.140179517341017,10.834091254290646,28.354812825950923,18.98892850004763,19.436937360824253
recording_2021_12_15_22H_41M.mat,temporal_affine,8102,0.003,128,PASS,,,0.6151026520353923,6392.623100852277,16896,18.899510112515518,22,10.726373304978628,4.39478938072495,12.476625166511088,29.719235333042214,19.13541647778584,24.57063997691324
recording_2021_12_15_22H_41M.mat,temporal_affine,8103,0.003,64,PASS,,,0.5506851504560712,2561.8909319125128,8448,16.336965374376877,22,6.5046402376319605,4.118257429510624,13.335665818507984,27.998960496895773,18.384678264882602,15.566954434053393
recording_2021_12_15_22H_41M.mat,temporal_affine,8103,0.003,128,PASS,,,0.5997400752399633,6077.291115013948,16896,17.855649563846058,22,11.183096647661053,4.391192107502026,13.641812836578639,27.529387121102747,18.930040968595282,21.593713101754027
recording_2021_12_15_22H_41M.mat,dense_bounded,8101,0.001,64,PASS,,,0.6007739819135307,3049.1313798041338,8448,17.990223637615188,22,6.512622802616797,4.618432343492171,15.66743707728628,29.351819653865736,18.748834308584698,20.484824056196434
recording_2021_12_15_22H_41M.mat,dense_bounded,8101,0.001,128,PASS,,,0.6631867313131782,7431.141959406234,16896,20.672407851997438,22,8.626639589725608,5.158169642810552,15.735640373050565,33.10149769292798,18.58545972039448,27.826717615227583
recording_2021_12_15_22H_41M.mat,dense_bounded,8102,0.001,64,PASS,,,0.5732441369489808,2776.0874849358343,8448,17.2651444709847,22,7.397037812676841,4.726044343172145,14.90094033781321,30.576956972817644,16.44578638782481,16.85251932221016
recording_2021_12_15_22H_41M.mat,dense_bounded,8102,0.001,128,PASS,,,0.5974464884404805,6030.897211466456,16896,18.23482881122158,22,8.483268753413643,5.253853710666555,14.611102896546793,31.433491271373004,15.917925733248872,20.989425958835152
recording_2021_12_15_22H_41M.mat,dense_bounded,8103,0.001,64,PASS,,,0.5839870344911257,2881.113155321189,8448,17.62549166835414,22,7.1906830391134156,4.412877666784844,14.334686361685861,27.968188892521976,18.34278884659286,21.64734629810181
recording_2021_12_15_22H_41M.mat,dense_bounded,8103,0.001,128,PASS,,,0.6070998431412163,6227.3624293831435,16896,18.732860123517536,22,8.374774864489332,4.64499191095271,13.995633300481282,29.018074020812257,17.960061503612355,25.560072495740773
recording_2021_12_15_22H_41M.mat,dense_unbounded,8101,0.003,64,PASS,,,0.6975582151484468,4110.6908918261415,8448,21.089853871894714,22,9.963086085770522,5.49987000214364,14.579593974336541,33.425971790444464,22.480147673399383,26.53229680265804
